Name,G,MIN,PTS,FGM,FGA,FGP,FTM,FTA,FTP,3PM,3PA,3PP,ORB,DRB,TRB,AST,STL,BLK,TO,PF
Jamal Crawford ,0.7017543859649122,0.8282828282828287,0.1923076923076923,0.2142857142857143,0.4166666666666665,0.0,0.3125,0.31645569620253167,0.776536312849162,0.7857142857142858,0.8714285714285713,0.36,0.0,0.09090909090909094,0.05263157894736842,0.3125,0.20833333333333331,0.03571428571428572,0.33333333333333326,0.0
Yao Ming ,0.9122807017543859,0.37373737373737415,0.1923076923076923,0.3928571428571429,0.20370370370370372,0.6934673366834172,0.359375,0.3670886075949368,0.759776536312849,0.0,0.0,1.0,0.5641025641025641,0.6883116883116884,0.6578947368421053,0.04166666666666666,0.0,0.6428571428571429,0.625,0.7916666666666666
Richard Jefferson ,1.0,0.6060606060606064,0.18461538461538485,0.2321428571428571,0.34259259259259256,0.14572864321608048,0.390625,0.44303797468354433,0.5893854748603353,0.5,0.5142857142857142,0.397,0.0769230769230769,0.25974025974025977,0.1929824561403508,0.10416666666666666,0.16666666666666669,0.03571428571428572,0.20833333333333337,0.7083333333333334
Jason Terry ,0.8596491228070176,0.37373737373737415,0.18461538461538485,0.3749999999999999,0.42592592592592604,0.26633165829145744,0.015625,0.025316455696202556,0.798882681564246,0.8214285714285714,0.8857142857142857,0.366,0.025641025641025633,0.0,0.0,0.20833333333333334,0.37500000000000006,0.07142857142857142,0.04166666666666674,0.20833333333333326
Deron Williams ,0.7543859649122806,0.7070707070707072,0.1692307692307693,0.2857142857142857,0.3055555555555556,0.3065326633165828,0.34375,0.35443037974683544,0.712290502793296,0.35714285714285715,0.47142857142857136,0.31,0.0,0.07792207792207795,0.04385964912280699,0.9687499999999999,0.2916666666666667,0.07142857142857142,0.7916666666666667,0.25
Tim Duncan ,0.8771929824561402,0.38383838383838453,0.16153846153846163,0.3928571428571429,0.3333333333333335,0.4723618090452262,0.296875,0.45569620253164567,0.2737430167597765,0.0,0.0,0.0,0.5897435897435899,0.7922077922077924,0.7280701754385964,0.21875000000000003,0.04166666666666666,0.5714285714285714,0.29166666666666674,0.3749999999999999
Monta Ellis ,0.0,0.5757575757575761,0.13846153846153864,0.4642857142857141,0.5555555555555554,0.20603015075376874,0.078125,0.12658227848101267,0.6592178770949719,0.10714285714285714,0.14285714285714285,0.308,0.051282051282051266,0.24675324675324678,0.16666666666666663,0.23958333333333334,0.5,0.07142857142857142,0.5000000000000002,0.5416666666666669
Rudy Gay ,0.9473684210526314,0.7474747474747474,0.13076923076923075,0.3571428571428571,0.4444444444444444,0.2160804020100504,0.109375,0.20253164556962033,0.4832402234636872,0.3928571428571429,0.44285714285714284,0.351,0.2564102564102564,0.29870129870129875,0.27192982456140347,0.03125,0.3333333333333333,0.21428571428571427,0.4583333333333335,0.5833333333333334
Pau Gasol ,0.9824561403508771,0.7272727272727275,0.13076923076923075,0.3749999999999999,0.15740740740740744,0.7889447236180902,0.25,0.329113924050633,0.5223463687150838,0.0,0.0,0.5,0.7179487179487181,0.5844155844155845,0.631578947368421,0.21875000000000003,0.08333333333333331,0.32142857142857145,0.16666666666666663,0.29166666666666674
Andre Iguodala ,1.0,1.0000000000000004,0.1230769230769233,0.2499999999999999,0.2592592592592593,0.316582914572864,0.3125,0.45569620253164567,0.3631284916201116,0.35714285714285715,0.45714285714285713,0.307,0.17948717948717952,0.3506493506493506,0.2894736842105263,0.40625,0.5,0.10714285714285715,0.5000000000000002,0.20833333333333326
Corey Maggette ,0.4561403508771929,0.12121212121212155,0.10769230769230798,0.0892857142857143,0.11111111111111116,0.25628140703517577,0.640625,0.670886075949367,0.6424581005586594,0.17857142857142858,0.2714285714285714,0.253,0.15384615384615385,0.3506493506493506,0.27192982456140347,0.04166666666666666,0.20833333333333331,0.03571428571428572,0.375,0.9999999999999999
O.J. Mayo ,1.0,0.8181818181818183,0.10000000000000009,0.3035714285714285,0.40740740740740744,0.14070351758793986,0.0625,0.07594936708860761,0.7960893854748605,0.6428571428571429,0.657142857142857,0.384,0.0769230769230769,0.1558441558441559,0.12280701754385964,0.18750000000000003,0.2916666666666667,0.03571428571428572,0.5416666666666667,0.45833333333333337
John Salmons ,0.9473684210526314,0.7676767676767682,0.08461538461538476,0.2321428571428571,0.2407407407407407,0.3115577889447234,0.15625,0.20253164556962033,0.6592178770949719,0.5714285714285715,0.5428571428571428,0.417,0.0769230769230769,0.2077922077922078,0.15789473684210525,0.18750000000000003,0.2916666666666667,0.07142857142857142,0.2500000000000001,0.3749999999999999
Richard Hamilton ,0.7368421052631577,0.41414141414141437,0.08461538461538476,0.3214285714285713,0.40740740740740744,0.18592964824120584,0.109375,0.13924050632911394,0.7094972067039105,0.35714285714285715,0.39999999999999997,0.368,0.0769230769230769,0.06493506493506496,0.06140350877192985,0.3125,0.08333333333333331,0.0,0.20833333333333337,0.5000000000000001
Ray Allen ,0.9473684210526314,0.6464646464646466,0.0769230769230771,0.19642857142857129,0.18518518518518512,0.3517587939698492,0.0625,0.05063291139240511,0.9999999999999998,0.8928571428571429,0.8857142857142857,0.409,0.10256410256410259,0.10389610389610393,0.0964912280701754,0.14583333333333334,0.20833333333333331,0.03571428571428572,0.08333333333333337,0.25
LaMarcus Aldridge ,0.9824561403508771,0.7272727272727275,0.06923076923076943,0.3928571428571429,0.37962962962962976,0.3718592964824121,0.09375,0.16455696202531644,0.5223463687150838,0.03571428571428572,0.04285714285714285,0.25,0.641025641025641,0.3506493506493506,0.4473684210526315,0.052083333333333315,0.25,0.32142857142857145,0.0,0.5000000000000001
Josh Howard ,0.47368421052631576,0.202020202020202,0.06153846153846154,0.2857142857142857,0.36111111111111116,0.20603015075376874,0.109375,0.17721518987341778,0.5251396648044693,0.3928571428571429,0.45714285714285713,0.345,0.17948717948717952,0.25974025974025977,0.23684210526315785,0.020833333333333343,0.2916666666666667,0.17857142857142855,0.08333333333333337,0.5000000000000001
Maurice Williams ,0.9824561403508771,0.5151515151515156,0.04615384615384621,0.2321428571428571,0.25,0.28643216080402034,0.0,0.0,0.8882681564245811,0.8214285714285714,0.7428571428571429,0.436,0.051282051282051266,0.12987012987012986,0.08771929824561403,0.28125,0.20833333333333331,0.0,0.29166666666666674,0.5416666666666669
Shaquille O'neal ,0.8771929824561402,0.020202020202020776,0.04615384615384621,0.2857142857142857,0.0,1.0,0.234375,0.518987341772152,0.0027932960893854997,0.0,0.0,0.0,0.5384615384615385,0.5194805194805197,0.5263157894736842,0.03125,0.125,0.4642857142857143,0.29166666666666674,0.8333333333333334
Rashard Lewis ,0.9473684210526314,0.6363636363636371,0.03846153846153855,0.16071428571428548,0.2407407407407407,0.14572864321608048,0.03125,0.07594936708860761,0.6759776536312849,1.0,1.0,0.397,0.20512820512820512,0.3506493506493506,0.2894736842105263,0.12500000000000003,0.25,0.17857142857142855,0.20833333333333337,0.45833333333333337
Chauncey Billups ,0.9473684210526314,0.5454545454545454,0.03846153846153855,0.0,0.11111111111111116,0.04020100502512536,0.421875,0.379746835443038,0.8910614525139666,0.75,0.7142857142857142,0.408,0.0,0.09090909090909094,0.05263157894736842,0.5208333333333334,0.3333333333333333,0.03571428571428572,0.29166666666666674,0.25
Allen Iverson ,0.5614035087719298,0.6868686868686873,0.023076923076923217,0.16071428571428548,0.31481481481481466,0.035175879396984744,0.34375,0.4177215189873418,0.5223463687150838,0.17857142857142858,0.24285714285714283,0.283,0.025641025641025633,0.07792207792207795,0.05263157894736842,0.375,0.4583333333333333,0.0,0.4583333333333335,0.04166666666666663
Nate Robinson ,0.8596491228070176,0.0,0.0,0.16071428571428548,0.25,0.1356783919597988,0.125,0.15189873417721522,0.6899441340782124,0.6071428571428571,0.7428571428571429,0.325,0.23076923076923078,0.09090909090909094,0.13157894736842102,0.28125,0.37500000000000006,0.0,0.16666666666666663,0.5833333333333334
