,Murder_Rate,South,West,Northeast,Midwest
385,4.624624624624625,0.14741376642986498,0.07904252203732126,0.13626968942550718,0.12195672411008651
386,4.636636636636637,0.14817400884777446,0.0784523828605453,0.13589056733165455,0.12216084923526303
387,4.648648648648648,0.14892875437661737,0.07786877520116543,0.1355104542145732,0.12237197976946015
388,4.66066066066066,0.14967799580106822,0.07729172467782419,0.13512930297798945,0.12259000329517285
389,4.672672672672673,0.150421728745695,0.07672125722350094,0.13474706715287862,0.1228148032508585
390,4.684684684684685,0.15115995162967885,0.07615739911149753,0.13436370093919311,0.12304625896249105
391,4.696696696696697,0.15189266561870166,0.07560017697972313,0.13397915924613277,0.12328424567795919
392,4.708708708708708,0.15261987457405032,0.0750496178532539,0.13359339773092327,0.12352863460430812
393,4.7207207207207205,0.15334158499898973,0.07450574916514634,0.13320637283606956,0.12377929294782243
394,4.732732732732733,0.15405780598245694,0.07396859877548329,0.13281804182505808,0.12403608395694486
395,4.744744744744745,0.15476854914013702,0.07343819498863331,0.13242836281647816,0.12429886696802302
396,4.756756756756757,0.1554738285529803,0.07291456656870708,0.13203729481654305,0.12456749745387298
397,4.768768768768768,0.15617366070322347,0.07239774275319343,0.13164479774998986,0.124841827075146
398,4.7807807807807805,0.1568680644079837,0.07188775326476235,0.1312508324893403,0.1251217037344822
399,4.792792792792793,0.1575570607504941,0.07138462832122154,0.1308553608825117,0.12540697163343156
400,4.804804804804805,0.1582406730090527,0.07088839864361528,0.13045834577876436,0.12569747133212
401,4.816816816816817,0.15891892658376083,0.07039909546245715,0.13005975105297998,0.1259930398116367
402,4.828828828828828,0.1595918489211282,0.06991675052208815,0.1296595416282658,0.1262935105391138
403,4.8408408408408405,0.16025946943662553,0.06944139608315444,0.1292576834968824,0.12659871353546848
404,4.852852852852853,0.1609218194352661,0.0689730649232014,0.12885414373949802,0.12690847544577546
405,4.864864864864865,0.16157893203030274,0.06851179033537944,0.12844889054277203,0.127222619612232
406,4.876876876876877,0.1622308420601269,0.06805760612526288,0.12804189321527518,0.12754096614967936
407,4.888888888888889,0.16287758600345867,0.06761054660578138,0.12763312220175732,0.12786333202363745
408,4.900900900900901,0.16351920189292057,0.06717064659026732,0.12722254909577477,0.12818953113081089
409,4.912912912912913,0.16415572922708696,0.06673794138362285,0.12681014665069154,0.12851937438201932
410,4.924924924924925,0.16478720888110493,0.06631246677161406,0.12639588878907537,0.12885266978750254
411,4.936936936936937,0.1654136830159842,0.06589425900829819,0.1259797506105059,0.129189222544551
412,4.948948948948949,0.16603519498665292,0.06548335480159569,0.12556170839782035,0.12952883512740693
413,4.960960960960961,0.16665178924888122,0.06507979129701726,0.12514173962182165,0.1298713073793796
414,4.972972972972973,0.16726351126517203,0.06468360605955938,0.12471982294447606,0.13021643660711776
415,4.984984984984985,0.16787040740972278,0.06429483705378398,0.12429593822063166,0.1305640176769777
416,4.996996996996997,0.1684725248725616,0.06391352262209793,0.12387006649828937,0.13091384311342402
417,5.009009009009009,0.16906991156296147,0.063539701461252,0.12344219001746075,0.1312657031993995
418,5.021021021021021,0.16966261601224022,0.06317341259707898,0.12301229220764957,0.13161938607859494
419,5.033033033033033,0.17025068727604964,0.06281469535749304,0.12258035768399458,0.1319746778595518
420,5.045045045045045,0.1708341748362627,0.06246358934377478,0.1221463722421144,0.1323313627215261
